,RRI_A,RRI_C,RRI_D,RRI_E,RRI_F,RRI_G,RRI_H,RRI_I,RRI_K,RRI_L,RRI_M,RRI_N,RRI_P,RRI_Q,RRI_R,RRI_S,RRI_T,RRI_V,RRI_W,RRI_Y,type_right,type_left,type
90,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
91,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
92,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
93,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
94,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
95,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
96,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
97,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
98,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
99,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
100,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
101,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
102,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
103,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
104,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
105,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
106,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
107,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
108,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
109,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
110,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
111,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
112,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
113,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
114,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
115,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
116,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
117,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
118,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
119,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
120,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
121,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
122,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
123,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
124,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
125,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
126,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
127,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
128,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
129,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
130,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
131,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
132,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
133,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
134,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
135,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
136,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
137,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
138,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
139,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
